NET,KP
Albany (NY),Albany
Alcorn,Alcorn St.
Ark.-Pine Bluff,Arkansas Pine Bluff
Army West Point,Army
Bethune-Cookman,Bethune Cookman
Boston U.,Boston University
California Baptist,Cal Baptist
CSU Bakersfield,Cal St. Bakersfield
CSUN,Cal St. Northridge
Central Ark.,Central Arkansas
Central Conn. St.,Central Connecticut
Central Mich.,Central Michigan
Col. of Charleston,Charleston
Charleston So.,Charleston Southern
UConn,Connecticut
Detroit Mercy,Detroit
ETSU,East Tennessee St.
Eastern Ill.,Eastern Illinois
Eastern Ky.,Eastern Kentucky
Eastern Mich.,Eastern Michigan
Eastern Wash.,Eastern Washington
Fla. Atlantic,Florida Atlantic
FGCU,Florida Gulf Coast
Gardner-Webb,Gardner Webb
Ga. Southern,Georgia Southern
Grambling,Grambling St.
UIC,Illinois Chicago
UIW,Incarnate Word
Lamar University,Lamar
La.-Monroe,Louisiana Monroe
LMU (CA),Loyola Marymount
Loyola Maryland,Loyola MD
UMES,Maryland Eastern Shore
McNeese,McNeese St.
Miami (FL),Miami FL
Miami (OH),Miami OH
Middle Tenn.,Middle Tennessee
Ole Miss,Mississippi
Mississippi Val.,Mississippi Valley St.
NC State,N.C. State
Omaha,Nebraska Omaha
North Ala.,North Alabama
N.C. A&T,North Carolina A&T
N.C. Central,North Carolina Central
Northern Ariz.,Northern Arizona
Northern Colo.,Northern Colorado
Northern Ill.,Northern Illinois
UNI,Northern Iowa
Northern Ky.,Northern Kentucky
Prairie View,Prairie View A&M
Saint Mary's (CA),Saint Mary's
Seattle U,Seattle
SIUE,SIU Edwardsville
South Fla.,South Florida
Southeast Mo. St.,Southeast Missouri St.
Southeastern La.,Southeastern Louisiana
Southern U.,Southern
Southern Ill.,Southern Illinois
Southern Miss.,Southern Miss
St. Francis Brooklyn,St. Francis NY
Saint Francis (PA),St. Francis PA
St. John's (NY),St. John's
SFA,Stephen F. Austin
UT Martin,Tennessee Martin
A&M-Corpus Christi,Texas A&M Corpus Chris
Kansas City,UMKC
UNCW,UNC Wilmington
Southern California,USC
UTRGV,UT Rio Grande Valley
Western Caro.,Western Carolina
Western Ill.,Western Illinois
Western Ky.,Western Kentucky
Western Mich.,Western Michigan
